id,s_kingdom,s_class,name,s_current_listing,s_english_name1,s_english_name2,s_type,s_order,s_family
ecites_species_74,Animalia,Aves,Afrotis afra,II,"Black Bustard, Black Korhaan",Allen's Swamp Monkey,Fauna,,
ecites_species_75,Animalia,Aves,Afrotis afraoides,II,White-quilled Bustard,American Alligator,Fauna,,
ecites_species_76,Animalia,Amphibia,Agalychnis annae,II,Blue-sided Leaf Frog,"China Alligator, Chinese Alligator",Fauna,,
ecites_species_77,Animalia,Amphibia,Agalychnis callidryas,II,Red-eyed Leaf Frog,Brilliant-thighed Poison Frog,Fauna,,
ecites_species_78,Animalia,Amphibia,Agalychnis moreletii,II,"Black-eyed leaf frog, Morelet's Leaf Frog",Myers's Poison Frog,Fauna,,
ecites_species_79,Animalia,Amphibia,Agalychnis saltator,II,Misfit Leaf Frog,"Sanguine Poison Frog, Zaparo's Poison Frog",Fauna,,
ecites_species_80,Animalia,Amphibia,Agalychnis spurrelli,II,Gliding Leaf Frog,Hairy-eared Dwarf Lemur,Fauna,,
ecites_species_81,Animalia,Aves,Agapornis canus,II,"Grey-headed Lovebird, Madagascar Lovebird","Black-and-red Howling Monkey, Red-handed Howler, Red-handed Howling Monkey",Fauna,,
ecites_species_82,Animalia,Aves,Agapornis fischeri,II,Fischer's Lovebird,"Black Howler, Black Howling Monkey",Fauna,,
ecites_species_83,Animalia,Aves,Agapornis lilianae,II,"Lilian's Lovebird, Nyasa Lovebird",Coiba Island Howling Monkey,Fauna,,
ecites_species_84,Animalia,Aves,Agapornis nigrigenis,II,Black-cheeked Lovebird,"Brown Howler, Brown Howling Monkey",Fauna,,
ecites_species_85,Animalia,Aves,Agapornis personatus,II,"Black-masked Lovebird, Masked Lovebird, Yellow-collared Lovebird",Guyanan Red Howler Monkey,Fauna,,
ecites_species_86,Animalia,Aves,Agapornis pullarius,II,"Red-faced Lovebird, Red-headed Lovebird",Amazon Black Howler Monkey,Fauna,,
ecites_species_87,Animalia,Aves,Agapornis swindernianus,II,Black-collared Lovebird,"Mantled Howler, Mantled Howling Monkey",Fauna,,
ecites_species_88,Animalia,Aves,Agapornis taranta,II,"Abyssinian Lovebird, Black-winged Lovebird","Guatemalan Howler, Guatemalan Howling Monkey",Fauna,,
ecites_species_89,Animalia,Aves,Aglaeactis aliciae,II,Purple-backed Sunbeam,"Red Howler, Red Howling Monkey",Fauna,,
ecites_species_90,Animalia,Aves,Aglaeactis castelnaudii,II,White-tufted Sunbeam,Malcolm's Ethiopian Toad,Fauna,,
ecites_species_91,Animalia,Aves,Aglaeactis cupripennis,II,Shining Sunbeam,Osgood's Ethiopian Toad,Fauna,,
ecites_species_92,Animalia,Aves,Aglaeactis pamela,II,Black-hooded Sunbeam,Green Avadavat,Fauna,,
ecites_species_93,Animalia,Aves,Aglaiocercus coelestis,II,Violet-tailed Sylph,Blue-chested Hummingbird,Fauna,,
ecites_species_94,Animalia,Aves,Aglaiocercus kingi,II,Long-tailed Sylph,Amazilia Hummingbird,Fauna,,
ecites_species_95,Animalia,Mammalia,Ailuropoda melanoleuca,I,Giant Panda,White-chested Emerald,Fauna,,
ecites_species_96,Animalia,Mammalia,Ailurus fulgens,I,"Lesser Panda, Red Cat-bear, Red Panda",White-bellied Emerald,Fauna,,
ecites_species_97,Animalia,Reptilia,Aldabrachelys gigantea,II,Aldabra Giant Tortoise,Chestnut-bellied Hummingbird,Fauna,,
ecites_species_98,Animalia,Aves,Alisterus amboinensis,II,"Ambon King-Parrot, Moluccan King-Parrot",White-bellied Hummingbird,Fauna,,
ecites_species_99,Animalia,Aves,Alisterus chloropterus,II,"Green-winged King-Parrot, Papuan King-Parrot",Copper-tailed Hummingbird,Fauna,,
